Level,Company Values,Tags,Name
Junior (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Junior%20975c3d21c75e4349968e93effb7f5f07.html),Adapt to change (Company%20roles%20d961012e6fc04f329b876179617803d8/Culture%20and%20values%20be3138c1cf0a4ebe8628f14448654682/Company%20Values%20c65e8769a562453b88b3131ca818103f/Adapt%20to%20change%200120570929b4435b85fc70bb12b43bf6.html),Problem solving,Solves simple and well-defined tasks by themselves
Junior (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Junior%20975c3d21c75e4349968e93effb7f5f07.html),Adapt to change (Company%20roles%20d961012e6fc04f329b876179617803d8/Culture%20and%20values%20be3138c1cf0a4ebe8628f14448654682/Company%20Values%20c65e8769a562453b88b3131ca818103f/Adapt%20to%20change%200120570929b4435b85fc70bb12b43bf6.html),Problem solving,Can split work into actionable chunks with the assistance of others
Junior (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Junior%20975c3d21c75e4349968e93effb7f5f07.html),New horizons (Company%20roles%20d961012e6fc04f329b876179617803d8/Culture%20and%20values%20be3138c1cf0a4ebe8628f14448654682/Company%20Values%20c65e8769a562453b88b3131ca818103f/New%20horizons%2016e68e884b454060a2de1faeec40eece.html),Problem solving,Recognizes large or complex problems and involves the team for assistance
Junior (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Junior%20975c3d21c75e4349968e93effb7f5f07.html),Gather value (Company%20roles%20d961012e6fc04f329b876179617803d8/Culture%20and%20values%20be3138c1cf0a4ebe8628f14448654682/Company%20Values%20c65e8769a562453b88b3131ca818103f/Gather%20value%2077aab01281814dec94ccddf330619a23.html),Business domain knowledge,Understands general company customer needs. Knows how our customers do their job and how are we helping them. Knows what products do we offer
Junior (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Junior%20975c3d21c75e4349968e93effb7f5f07.html),Gather value (Company%20roles%20d961012e6fc04f329b876179617803d8/Culture%20and%20values%20be3138c1cf0a4ebe8628f14448654682/Company%20Values%20c65e8769a562453b88b3131ca818103f/Gather%20value%2077aab01281814dec94ccddf330619a23.html),Business domain knowledge,"Understands business priorities and ways how company and team decisions support those.• Learns their team's domain (e.g. email, scheduling, mobile, internal tooling) and their customers needs"
Junior (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Junior%20975c3d21c75e4349968e93effb7f5f07.html),Gather value (Company%20roles%20d961012e6fc04f329b876179617803d8/Culture%20and%20values%20be3138c1cf0a4ebe8628f14448654682/Company%20Values%20c65e8769a562453b88b3131ca818103f/Gather%20value%2077aab01281814dec94ccddf330619a23.html),Business domain knowledge,"Able to adjust priorities, scope and quality with guidance from others"
Junior (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Junior%20975c3d21c75e4349968e93effb7f5f07.html),Observable mind (Company%20roles%20d961012e6fc04f329b876179617803d8/Culture%20and%20values%20be3138c1cf0a4ebe8628f14448654682/Company%20Values%20c65e8769a562453b88b3131ca818103f/Observable%20mind%20ae0b4103b4124c63aaf6549d8c0fa575.html),Code quality,Aware of the code quality practices and understands the reasons behind them and practices some of them
Junior (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Junior%20975c3d21c75e4349968e93effb7f5f07.html),Observable mind (Company%20roles%20d961012e6fc04f329b876179617803d8/Culture%20and%20values%20be3138c1cf0a4ebe8628f14448654682/Company%20Values%20c65e8769a562453b88b3131ca818103f/Observable%20mind%20ae0b4103b4124c63aaf6549d8c0fa575.html),Code quality,Can reason about and understand existing non-complex code
Junior (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Junior%20975c3d21c75e4349968e93effb7f5f07.html),Observable mind (Company%20roles%20d961012e6fc04f329b876179617803d8/Culture%20and%20values%20be3138c1cf0a4ebe8628f14448654682/Company%20Values%20c65e8769a562453b88b3131ca818103f/Observable%20mind%20ae0b4103b4124c63aaf6549d8c0fa575.html),Code quality,Able to document solutions and explain their decisions
Junior (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Junior%20975c3d21c75e4349968e93effb7f5f07.html),Observable mind (Company%20roles%20d961012e6fc04f329b876179617803d8/Culture%20and%20values%20be3138c1cf0a4ebe8628f14448654682/Company%20Values%20c65e8769a562453b88b3131ca818103f/Observable%20mind%20ae0b4103b4124c63aaf6549d8c0fa575.html),Code reviews,Performs code reviews regularly without a need to be explicitly asked
Junior (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Junior%20975c3d21c75e4349968e93effb7f5f07.html),Observable mind (Company%20roles%20d961012e6fc04f329b876179617803d8/Culture%20and%20values%20be3138c1cf0a4ebe8628f14448654682/Company%20Values%20c65e8769a562453b88b3131ca818103f/Observable%20mind%20ae0b4103b4124c63aaf6549d8c0fa575.html),Code reviews,Asks questions in PR about code which they don't understand
Junior (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Junior%20975c3d21c75e4349968e93effb7f5f07.html),Observable mind (Company%20roles%20d961012e6fc04f329b876179617803d8/Culture%20and%20values%20be3138c1cf0a4ebe8628f14448654682/Company%20Values%20c65e8769a562453b88b3131ca818103f/Observable%20mind%20ae0b4103b4124c63aaf6549d8c0fa575.html),Code reviews,Able to find typos and code inconsistency in any code
Junior (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Junior%20975c3d21c75e4349968e93effb7f5f07.html),Observable mind (Company%20roles%20d961012e6fc04f329b876179617803d8/Culture%20and%20values%20be3138c1cf0a4ebe8628f14448654682/Company%20Values%20c65e8769a562453b88b3131ca818103f/Observable%20mind%20ae0b4103b4124c63aaf6549d8c0fa575.html),Code reviews,Finds possible issues in known components
Junior (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Junior%20975c3d21c75e4349968e93effb7f5f07.html),New horizons (Company%20roles%20d961012e6fc04f329b876179617803d8/Culture%20and%20values%20be3138c1cf0a4ebe8628f14448654682/Company%20Values%20c65e8769a562453b88b3131ca818103f/New%20horizons%2016e68e884b454060a2de1faeec40eece.html),System design and architecture,"Understands the architecture and design used in the team on the level that allows them to independently work on tasks, avoiding duplication across codebases and interface-breaking changes"
Junior (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Junior%20975c3d21c75e4349968e93effb7f5f07.html),New horizons (Company%20roles%20d961012e6fc04f329b876179617803d8/Culture%20and%20values%20be3138c1cf0a4ebe8628f14448654682/Company%20Values%20c65e8769a562453b88b3131ca818103f/New%20horizons%2016e68e884b454060a2de1faeec40eece.html),System design and architecture,New code is aligned with the team architecture and company best practices
Junior (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Junior%20975c3d21c75e4349968e93effb7f5f07.html),Radiate truth (Company%20roles%20d961012e6fc04f329b876179617803d8/Culture%20and%20values%20be3138c1cf0a4ebe8628f14448654682/Company%20Values%20c65e8769a562453b88b3131ca818103f/Radiate%20truth%2052ad44ce6a014b66b7251968c7f37d41.html),Engineering Operations,Helps answer questions in public channels
Junior (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Junior%20975c3d21c75e4349968e93effb7f5f07.html),Observable mind (Company%20roles%20d961012e6fc04f329b876179617803d8/Culture%20and%20values%20be3138c1cf0a4ebe8628f14448654682/Company%20Values%20c65e8769a562453b88b3131ca818103f/Observable%20mind%20ae0b4103b4124c63aaf6549d8c0fa575.html),Engineering Operations,Is aware of CI/CD pipeline and tools the team is using
Junior (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Junior%20975c3d21c75e4349968e93effb7f5f07.html),Observable mind (Company%20roles%20d961012e6fc04f329b876179617803d8/Culture%20and%20values%20be3138c1cf0a4ebe8628f14448654682/Company%20Values%20c65e8769a562453b88b3131ca818103f/Observable%20mind%20ae0b4103b4124c63aaf6549d8c0fa575.html),Engineering Operations,Knows how to rollback to working version of the module in case of an incident
Junior (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Junior%20975c3d21c75e4349968e93effb7f5f07.html),Observable mind (Company%20roles%20d961012e6fc04f329b876179617803d8/Culture%20and%20values%20be3138c1cf0a4ebe8628f14448654682/Company%20Values%20c65e8769a562453b88b3131ca818103f/Observable%20mind%20ae0b4103b4124c63aaf6549d8c0fa575.html),Engineering Operations,Is aware of monitors and alerts in the team
Junior (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Junior%20975c3d21c75e4349968e93effb7f5f07.html),Adapt to change (Company%20roles%20d961012e6fc04f329b876179617803d8/Culture%20and%20values%20be3138c1cf0a4ebe8628f14448654682/Company%20Values%20c65e8769a562453b88b3131ca818103f/Adapt%20to%20change%200120570929b4435b85fc70bb12b43bf6.html),Project management and prioritisation,Understands the agile delivery process
Junior (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Junior%20975c3d21c75e4349968e93effb7f5f07.html),Adapt to change (Company%20roles%20d961012e6fc04f329b876179617803d8/Culture%20and%20values%20be3138c1cf0a4ebe8628f14448654682/Company%20Values%20c65e8769a562453b88b3131ca818103f/Adapt%20to%20change%200120570929b4435b85fc70bb12b43bf6.html),Project management and prioritisation,Spots tasks which are too big when they work on it
Junior (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Junior%20975c3d21c75e4349968e93effb7f5f07.html),Adapt to change (Company%20roles%20d961012e6fc04f329b876179617803d8/Culture%20and%20values%20be3138c1cf0a4ebe8628f14448654682/Company%20Values%20c65e8769a562453b88b3131ca818103f/Adapt%20to%20change%200120570929b4435b85fc70bb12b43bf6.html),Project management and prioritisation,Communicates dependencies and potential blockers
Junior (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Junior%20975c3d21c75e4349968e93effb7f5f07.html),Adapt to change (Company%20roles%20d961012e6fc04f329b876179617803d8/Culture%20and%20values%20be3138c1cf0a4ebe8628f14448654682/Company%20Values%20c65e8769a562453b88b3131ca818103f/Adapt%20to%20change%200120570929b4435b85fc70bb12b43bf6.html),Project management and prioritisation,Ensures that tasks are appropriately sized for incremental delivery with help from others
Junior (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Junior%20975c3d21c75e4349968e93effb7f5f07.html),Adapt to change (Company%20roles%20d961012e6fc04f329b876179617803d8/Culture%20and%20values%20be3138c1cf0a4ebe8628f14448654682/Company%20Values%20c65e8769a562453b88b3131ca818103f/Adapt%20to%20change%200120570929b4435b85fc70bb12b43bf6.html),Project management and prioritisation,Understands and acts according to task prioritisation
Junior (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Junior%20975c3d21c75e4349968e93effb7f5f07.html),Adapt to change (Company%20roles%20d961012e6fc04f329b876179617803d8/Culture%20and%20values%20be3138c1cf0a4ebe8628f14448654682/Company%20Values%20c65e8769a562453b88b3131ca818103f/Adapt%20to%20change%200120570929b4435b85fc70bb12b43bf6.html),Project management and prioritisation,"Communicates with task stakeholders (PM, Design) to clarify and review their work"
Junior (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Junior%20975c3d21c75e4349968e93effb7f5f07.html),Adapt to change (Company%20roles%20d961012e6fc04f329b876179617803d8/Culture%20and%20values%20be3138c1cf0a4ebe8628f14448654682/Company%20Values%20c65e8769a562453b88b3131ca818103f/Adapt%20to%20change%200120570929b4435b85fc70bb12b43bf6.html),Project management and prioritisation,Able to estimate a task
Junior (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Junior%20975c3d21c75e4349968e93effb7f5f07.html),Adapt to change (Company%20roles%20d961012e6fc04f329b876179617803d8/Culture%20and%20values%20be3138c1cf0a4ebe8628f14448654682/Company%20Values%20c65e8769a562453b88b3131ca818103f/Adapt%20to%20change%200120570929b4435b85fc70bb12b43bf6.html),Project management and prioritisation,"Understands company, team and project goals and always working towards them"
Junior (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Junior%20975c3d21c75e4349968e93effb7f5f07.html),Adapt to change (Company%20roles%20d961012e6fc04f329b876179617803d8/Culture%20and%20values%20be3138c1cf0a4ebe8628f14448654682/Company%20Values%20c65e8769a562453b88b3131ca818103f/Adapt%20to%20change%200120570929b4435b85fc70bb12b43bf6.html),Project management and prioritisation,Always asks for clarification if something is unclear
Junior (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Junior%20975c3d21c75e4349968e93effb7f5f07.html),Team effort (Company%20roles%20d961012e6fc04f329b876179617803d8/Culture%20and%20values%20be3138c1cf0a4ebe8628f14448654682/Company%20Values%20c65e8769a562453b88b3131ca818103f/Team%20effort%20946788035d7f4462b4228eee8a4ca7ca.html),Developing others,"Sometimes supports their teammates in an open, respectful, flexible, empathetic manner (for example: helping with learning technical skills or overcoming technical challenges)"
Junior (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Junior%20975c3d21c75e4349968e93effb7f5f07.html),Team effort (Company%20roles%20d961012e6fc04f329b876179617803d8/Culture%20and%20values%20be3138c1cf0a4ebe8628f14448654682/Company%20Values%20c65e8769a562453b88b3131ca818103f/Team%20effort%20946788035d7f4462b4228eee8a4ca7ca.html),Developing others,Helps with onboarding newcomers
Junior (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Junior%20975c3d21c75e4349968e93effb7f5f07.html),Adapt to change (Company%20roles%20d961012e6fc04f329b876179617803d8/Culture%20and%20values%20be3138c1cf0a4ebe8628f14448654682/Company%20Values%20c65e8769a562453b88b3131ca818103f/Adapt%20to%20change%200120570929b4435b85fc70bb12b43bf6.html),Decisiveness,Make decisions where necessary information is available
Junior (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Junior%20975c3d21c75e4349968e93effb7f5f07.html),Adapt to change (Company%20roles%20d961012e6fc04f329b876179617803d8/Culture%20and%20values%20be3138c1cf0a4ebe8628f14448654682/Company%20Values%20c65e8769a562453b88b3131ca818103f/Adapt%20to%20change%200120570929b4435b85fc70bb12b43bf6.html),Decisiveness,"With guidance, are able to handle risk, change, and uncertainty within their personal scope of work effectively"
Junior (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Junior%20975c3d21c75e4349968e93effb7f5f07.html),Team effort (Company%20roles%20d961012e6fc04f329b876179617803d8/Culture%20and%20values%20be3138c1cf0a4ebe8628f14448654682/Company%20Values%20c65e8769a562453b88b3131ca818103f/Team%20effort%20946788035d7f4462b4228eee8a4ca7ca.html),Facilitation,Ensures that all relevant parties are involved
Junior (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Junior%20975c3d21c75e4349968e93effb7f5f07.html),Team effort (Company%20roles%20d961012e6fc04f329b876179617803d8/Culture%20and%20values%20be3138c1cf0a4ebe8628f14448654682/Company%20Values%20c65e8769a562453b88b3131ca818103f/Team%20effort%20946788035d7f4462b4228eee8a4ca7ca.html),Facilitation,"Organizes meetings, finds the most suitable time for all participants"
Junior (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Junior%20975c3d21c75e4349968e93effb7f5f07.html),Team effort (Company%20roles%20d961012e6fc04f329b876179617803d8/Culture%20and%20values%20be3138c1cf0a4ebe8628f14448654682/Company%20Values%20c65e8769a562453b88b3131ca818103f/Team%20effort%20946788035d7f4462b4228eee8a4ca7ca.html),Facilitation,Is responsible for agenda and results of the meeting
Junior (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Junior%20975c3d21c75e4349968e93effb7f5f07.html),Team effort (Company%20roles%20d961012e6fc04f329b876179617803d8/Culture%20and%20values%20be3138c1cf0a4ebe8628f14448654682/Company%20Values%20c65e8769a562453b88b3131ca818103f/Team%20effort%20946788035d7f4462b4228eee8a4ca7ca.html),Facilitation,Performs basic meeting facilitation
Intern (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Intern%20be8f5bc504af46b082f71834167253d3.html),Humbly kind (Company%20roles%20d961012e6fc04f329b876179617803d8/Culture%20and%20values%20be3138c1cf0a4ebe8628f14448654682/Company%20Values%20c65e8769a562453b88b3131ca818103f/Humbly%20kind%2027a696347d664de28b9f1504c79a16b7.html),Communication,"Clearly expresses thoughts and ideas, listens, and is approachable"
Intern (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Intern%20be8f5bc504af46b082f71834167253d3.html),Humbly kind (Company%20roles%20d961012e6fc04f329b876179617803d8/Culture%20and%20values%20be3138c1cf0a4ebe8628f14448654682/Company%20Values%20c65e8769a562453b88b3131ca818103f/Humbly%20kind%2027a696347d664de28b9f1504c79a16b7.html),Communication,Has an ability to relay information openly and transparently
Intern (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Intern%20be8f5bc504af46b082f71834167253d3.html),Humbly kind (Company%20roles%20d961012e6fc04f329b876179617803d8/Culture%20and%20values%20be3138c1cf0a4ebe8628f14448654682/Company%20Values%20c65e8769a562453b88b3131ca818103f/Humbly%20kind%2027a696347d664de28b9f1504c79a16b7.html),Communication,Habitually shares information with others inside and outside the company
Intern (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Intern%20be8f5bc504af46b082f71834167253d3.html),Humbly kind (Company%20roles%20d961012e6fc04f329b876179617803d8/Culture%20and%20values%20be3138c1cf0a4ebe8628f14448654682/Company%20Values%20c65e8769a562453b88b3131ca818103f/Humbly%20kind%2027a696347d664de28b9f1504c79a16b7.html),Communication,Open-mindedness and a habit of learning from others regardless of their position or experience
Intern (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Intern%20be8f5bc504af46b082f71834167253d3.html),Humbly kind (Company%20roles%20d961012e6fc04f329b876179617803d8/Culture%20and%20values%20be3138c1cf0a4ebe8628f14448654682/Company%20Values%20c65e8769a562453b88b3131ca818103f/Humbly%20kind%2027a696347d664de28b9f1504c79a16b7.html),Communication,Ability to admit being wrong or not knowing something
Middle (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Middle%20c45b4e97cb2d49a2b73a1e55b95ceb26.html),Humbly kind (Company%20roles%20d961012e6fc04f329b876179617803d8/Culture%20and%20values%20be3138c1cf0a4ebe8628f14448654682/Company%20Values%20c65e8769a562453b88b3131ca818103f/Humbly%20kind%2027a696347d664de28b9f1504c79a16b7.html),Communication,Clarifies information when it's vague or confusing
Middle (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Middle%20c45b4e97cb2d49a2b73a1e55b95ceb26.html),Humbly kind (Company%20roles%20d961012e6fc04f329b876179617803d8/Culture%20and%20values%20be3138c1cf0a4ebe8628f14448654682/Company%20Values%20c65e8769a562453b88b3131ca818103f/Humbly%20kind%2027a696347d664de28b9f1504c79a16b7.html),Communication,Written communication is concise and clear
Middle (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Middle%20c45b4e97cb2d49a2b73a1e55b95ceb26.html),Humbly kind (Company%20roles%20d961012e6fc04f329b876179617803d8/Culture%20and%20values%20be3138c1cf0a4ebe8628f14448654682/Company%20Values%20c65e8769a562453b88b3131ca818103f/Humbly%20kind%2027a696347d664de28b9f1504c79a16b7.html),Communication,"Identifies situations where others in the company could benefit from the information they know, and shares it (guilds, team TEX-es)."
Middle (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Middle%20c45b4e97cb2d49a2b73a1e55b95ceb26.html),Humbly kind (Company%20roles%20d961012e6fc04f329b876179617803d8/Culture%20and%20values%20be3138c1cf0a4ebe8628f14448654682/Company%20Values%20c65e8769a562453b88b3131ca818103f/Humbly%20kind%2027a696347d664de28b9f1504c79a16b7.html),Communication,Practices active listening techniques towards the team
Senior / Manager (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Senior%20Manager%20c62668f450704b73b87d66b506b315ab.html),Humbly kind (Company%20roles%20d961012e6fc04f329b876179617803d8/Culture%20and%20values%20be3138c1cf0a4ebe8628f14448654682/Company%20Values%20c65e8769a562453b88b3131ca818103f/Humbly%20kind%2027a696347d664de28b9f1504c79a16b7.html),Communication,"Identifies how written communication can be received differently by others, and switches communication mediums and styles to convey a clear and kind message"
