hive area + method,Team / University,Publication Name,year,method,Authors,URL
"👁️‍🗨️Entrance Observer ",Karlsruhe Institute of Technology,https://openaccess.thecvf.com/content_ICCVW_2019/papers/CVWC/Marstaller_DeepBees_-_Building_and_Scaling_Convolutional_Neuronal_Nets_For_Fast_ICCVW_2019_paper.pdf,2019,image / video,"Marstaller J, Stock S, Tausch F",
"👁️‍🗨️Entrance Observer ",Utah State University,https://www.mdpi.com/2076-3417/9/18/3743,2019,image / video,"Kulyukin V, Mukherjee S",
👁️‍🗨️Entrance Observer,Utah State University,https://core.ac.uk/download/pdf/231751319.pdf (Master thesis),2019,image / video,"Alavala L, Kulyukin V",
👁️‍🗨️Entrance Observer,Puerto Rico,LabelBee: a web platform for large-scale semi-automated analysis of honeybee behavior from video,2019,image/video,"Acuna E, Agosto-Rivera JL, Ford IC, Giray T, Mégret R, Rodriguez IF",
👁️‍🗨️Entrance Observer,Puerto Rico,https://par.nsf.gov/servlets/purl/10058461,2018,image / video,"Acuna E, Agosto-Rivera JL, Giray T, Mégret R, Rodriguez IF",
,Utah State University,https://www.mdpi.com/2076-3417/8/9/1573,2018,audio,"Amlathe P, Kulyukin V, Mukherjee S",
nest,Okinawa Institute of Science and Technology Graduate University,https://openaccess.thecvf.com/content_cvpr_2018/papers/Bozek_Towards_Dense_Object_CVPR_2018_paper.pdf,2018,image / video,"Bozek K, Hebert L, Mikheyev A",
nest,Vienna University of Technology,https://core.ac.uk/download/pdf/162572124.pdf,2018,image / video,"Kampel M, Radeva P, Remeseiro B, Schurischuster S",
nest,,"The development of honey bee colonies
assessed using a new semi-automated brood
counting method: CombCount",2018,image,"Barron AB, Bruce J, Colin T, Meikle WG",
👁️‍🗨️Entrance Observer,Utah State University,https://www.iaeng.org/publication/IMECS2017/IMECS2017_pp182-187.pdf,2017,image / video,Kulyukin V,
👁️‍🗨️Entrance Observer,Utah State University,http://worldcomp-proceedings.com/proc/p2016/IPC3835.pdf,2016,image / video,"Kulyukin V, Reka SK",
👁️‍🗨️Entrance Observer,Utah State University,https://www.engineeringletters.com/issues_v24/issue_3/EL_24_3_12.pdf,2016,image / video,"Kulyukin V, Reka SK",
nest,Utah State University,https://www.iaeng.org/publication/IMECS2016/IMECS2016_pp82-87.pdf,2016,audio,"Kulyukin V, PuTnam M, Reka SK",
,,https://inria.hal.science/hal-03483914/file/surveyPB_hal.pdf,,,"Ammar D, Hadjur H, Lefevre L",
👁️‍🗨️Entrance Observer,Utah State University,https://digitalcommons.usu.edu/cgi/viewcontent.cgi?article=1045&amp;context=computer_science_facpubs,,image / video,"Kulyukin AV, Kulyukin V",
,Puerto Rico,https://homepages.inf.ed.ac.uk/rbf/VAIB18PAPERS/vaib18rodriguez.pdf,,,"Acuna E, Agosto-Rivera JL, Branson K, Egnor R, Giray T, Mégret R, Rodriguez IF",
,,https://dspace.vutbr.cz/bitstream/handle/11012/200873/sensors2102764.pdf?sequence=1&isAllowed=y,,,"Bilik S, Bostik O, Horak K, Hybl M, Kratochvila L, Ligocki A, Zalud L, Zemcik T",
,,https://www.apidologie.org/articles/apido/abs/2009/03/m08114/m08114.html,2009,,"Dall'Olio R, De la Rúa P, Jaffé R, Muñoz I, Serrano J",
,,BeeNet: An End-To-End Deep Network For Bee Surveillance,2003,,"Asif Ahmed K., Hossain Z., Liu X., Siddiqua R., Yoo J.",
,,Varroa Destructor Classification Using Legendre–Fourier Moments with Different Color Spaces,2023,,,
,,https://www.sciencedirect.com/science/article/abs/pii/S0167880922001529,2022,,,
,,https://www.thelancet.com/journals/lanplh/article/PIIS2542-5196(22)00265-0/fulltext,,,,
,Brno University of Technology,"Machine Learning and Computer Vision Techniques in Continuous
Beehive Monitoring Applications: A Survey",2023,,"Bilik S, Horak K, Kratochvila L, Ricanek D, Richter M, Zambanini S, Zemcik T",
,Brno University of Technology,Varroa destructor detection on honey bees using hyperspectral imagery,2024,,,
👁️‍🗨️Entrance Observer,Brno University of Technology,https://arxiv.org/pdf/2304.14444,2023,image / video,"Bilik S, Horak K, Nevlacil J",https://arxiv.org/pdf/2304.14444
,,"Evaluation of the honey bee colonies weight gain during the
intensive foraging period",2022,weight,,
,Brno University of Technology,Approximation of functions determining colony activity using neural networks. Master thesis,2023,audio,"Honec P., Nevláčil J.",
